공고 번호,공고 차수,사업명,project_id,사업 금액,발주 기관,공개 일자,입찰 참여 시작일,입찰 참여 마감일,사업 요약,doc_index,공개_월,expected_folder_norm,folder_name,folder_path,folder_match_ok,pdf_list,pdf_count
20241001798,0,한영대학교 특성화 맞춤형 교육환경 구축 - 트랙운영 학사정보시스템 고도화,proj_001,130000000.0,한영대학,2024-10-04 13:51:00,2024-10-04 13:51:00,2024-10-15 17:00:00,"- 한영대학교 특성화 맞춤형 교육환경 구축을 위해 트랙운영 학사정보시스템을 고도화한다.
- 트랙제도를 도입하여 다양한 진로 선택 기회를 제공하고 산업현장의 경쟁력을 강화한다.
- 효과적인 교육과정 지원 및 대학 체제 개편에 대한 대응체계를 확립한다.
- 트랙기반 교육과정 운영 및 관리 체계를 개선하고 교수자-학습자 중심의 교육환경을 조성한다.
- 학사운영 시스템을 고도화하여 대학 체제 개편에 대한 대응체계를 갖출 수 있다.",0,2024-10,proj_001,proj_001,/content/drive/MyDrive/rag_project/Files/proj_001,True,"['/content/drive/MyDrive/rag_project/Files/proj_001/20241001798-00_1728004387170_입찰공고문(한영대학교 특성화 맞춤형 교육환경 구축 - 트랙운영 학사정보시스템 고도화) (1).pdf', '/content/drive/MyDrive/rag_project/Files/proj_001/한영대학_한영대학교 특성화 맞춤형 교육환경 구축 - 트랙운영 학사정보.pdf']",2
20241002912,0,2024년 대학산학협력활동 실태조사 시스템(UICC) 기능개선,proj_002,129300000.0,한국연구재단,2024-10-04 15:01:00,2024-10-14 10:00:00,2024-10-16 14:00:00,"- 사업 개요: 2024년 대학 산학협력활동 실태조사 시스템(UICC) 기능개선
- 추진배경: 대학 산학협력활동 실태조사를 안정적으로 운영하고 사용자 편의성을 개선하기 위해 필요
- 사업범위: UICC 시스템 기능개선 및 운영지원, 대학정보공시 연계 기능 개선
- 기대효과: 실태조사를 안정적으로 운영하고 사용자 편의성을 개선하여 대학 산학협력활동을 효율적으로 추진
- 추진목표: UICC 시스템 기능개선을 통한 이용 편의성 개선, UICC 시스템 운영 지원을 통한 안정적인 실태조사 추진",1,2024-10,proj_002,proj_002,/content/drive/MyDrive/rag_project/Files/proj_002,True,"['/content/drive/MyDrive/rag_project/Files/proj_002/20241002912-00_1728021605690_입찰공고문_2024년 대학 산학협력활동 실태조사 시스템(UICC) 기능개선.pdf', '/content/drive/MyDrive/rag_project/Files/proj_002/한국연구재단_2024년 대학산학협력활동 실태조사 시스템(UICC) 기능개선.pdf']",2
20240827859,0,EIP3.0 고압가스 안전관리 시스템 구축 용역,proj_003,40000000.0,한국생산기술연구원,2024-08-28 11:31:00,2024-08-29 09:00:00,2024-09-09 10:00:00,"- 사업 개요: EIP3.0 고압가스 안전관리 시스템 구축 용역
- 추진배경: 안전사고 증가, 법적 요구사항, 연구 환경 보호에 대한 필요성
- 사업범위: 화학물질 운영현황 통계 정보 제공, 고압가스 화학물질 관리 시스템 구축, 안전성 검토 과정 시스템 고도화, 법적 준수와 연구실 관리 시스템 고도화, 화학제품 폐기-회수 관리 시스템 고도화
- 기대효과: 연구실 안전 확보, 법적 준수, 효율적 관리 시스템 도입",2,2024-08,proj_003,proj_003,/content/drive/MyDrive/rag_project/Files/proj_003,True,"['/content/drive/MyDrive/rag_project/Files/proj_003/20240827859-00_1724812213958_입찰공고문_EIP3.0 고압가스 안전관리 시스템 구축 용역.pdf', '/content/drive/MyDrive/rag_project/Files/proj_003/한국생산기술연구원_EIP3.0 고압가스 안전관리 시스템 구축 용역.pdf']",2
20240430918,0,도시계획위원회 통합관리시스템 구축용역,proj_004,150000000.0,인천광역시,2024-04-18 16:26:00,2024-05-02 10:00:00,2024-05-09 16:00:00,"- 사업명: 도시계획위원회 통합관리시스템 구축 용역
- 용역개요: 도시계획위원회와 도시-건축공동위원회의 통합관리시스템 구축
- 과업배경 및 목적: 수작업으로 처리되던 위원회 업무의 복잡성 해결과 자료 관리 및 보안 문제 개선
- 과업의 범위: 시스템 구축, 위원회 운영 지원, 내부시스템 연계, 사용자 교육 및 유지관리
- 기대효과: 체계적-통합적 위원회 운영과 업무 효율성 제고, 자료 관리와 활용 체계 구축, 위원회 심의 지원 및 아카이브 구축",3,2024-04,proj_004,proj_004,/content/drive/MyDrive/rag_project/Files/proj_004,True,"['/content/drive/MyDrive/rag_project/Files/proj_004/20240430918-00_1713425115125_입찰공고_(협상)도시계획위원회 통합관리시스템 구축용역.pdf', '/content/drive/MyDrive/rag_project/Files/proj_004/20240430918-00_1713425115127_과업내용서 도시계획위원회 통합관리시스템 구축용역.pdf', '/content/drive/MyDrive/rag_project/Files/proj_004/인천광역시_도시계획위원회 통합관리시스템 구축용역.pdf']",3
20240430896,0,봉화군 재난통합관리시스템 고도화 사업(협상)(긴급),proj_005,900000000.0,경상북도 봉화군,2024-04-18 16:33:00,2024-04-26 09:00:00,2024-04-30 17:00:00,"- 사업명: 봉화군 재난통합관리시스템 고도화 사업
- 사업개요: 공동수급(공동이행방식)을 허용하는 고도화 사업
- 추진배경: 재난통합관리시스템의 고도화 필요성
- 사업범위: 자가진단표 분야에 대한 사업수행실적 평가표
- 기대효과: 공동수급표준협정서를 활용한 효과적인 사업수행
- 추진목표: 봉화군 재난통합관리시스템의 고도화 및 개선",4,2024-04,proj_005,proj_005,/content/drive/MyDrive/rag_project/Files/proj_005,True,"['/content/drive/MyDrive/rag_project/Files/proj_005/20240430896-00_1713425345417_과업지시서(봉화군 재난통합관리시스템 고도화 사업).pdf', '/content/drive/MyDrive/rag_project/Files/proj_005/20240430896-00_1713425506341_공고문(봉화군 재난통합관리시스템 고도화 사업).pdf', '/content/drive/MyDrive/rag_project/Files/proj_005/경상북도 봉화군_봉화군 재난통합관리시스템 고도화 사업(협상)(긴급).pdf']",3
R25BK00559883,0,전기안전 관제시스템 보안 모듈 개발 용역,proj_006,222180200.0,한국전기안전공사,2025-01-08 09:45:00,2025-01-08 14:30:00,2025-01-08 15:30:00,"- 사업 개요: 전기안전 관제시스템 보안 모듈 개발
- 추진배경: 전기안전관리법에 따라 관제시스템과 원격점검장치 간 안전한 통신환경 조성 필요, 원격점검 사업 물량 안정적 운영을 위한 시스템 환경 조성 필요
- 사업범위: 보안모듈(KCMVP) 적용, 통신서버 구성 및 기능 개선, 원격점검장치 제조사 컨설팅 및 교육, 관제시스템 기능 개발
- 기대효과: 데이터 안전성 강화, 원격장치 암호모듈의 안전성 향상, 관제시스템 운영 효율성 제고
- 추진목표: IoT 표준 보안규격 준수, 원격점검 물량 안정적 운영을 위한 시스템 환경 조성",5,2025-01,proj_006,proj_006,/content/drive/MyDrive/rag_project/Files/proj_006,True,['/content/drive/MyDrive/rag_project/Files/proj_006/한국전기안전공사_전기안전 관제시스템 보안 모듈 개발 용역.pdf'],1
R25BK00564730,0,GIS/통계 기반 재난안전데이터 분석ㆍ관리 시스템 구축 용역,proj_007,100000000.0,재단법인충북연구원,2025-01-08 16:05:00,2025-01-09 10:00:00,2025-02-03 16:00:00,"- 사업 개요: GIS/통계 기반 재난안전데이터 분석-관리 시스템 구축 용역
- 추진배경: 재난관리 패러다임 변화, 충북형 재난안전 특수시책 발굴, 충북 맞춤형 재난안전 정책 수립
- 사업범위: 재난안전데이터 구축 및 최신화, 취약지역 분석, 시스템 구축을 위한 장비 도입 및 설치
- 기대효과: 공간정보 기반 과학적 재난안전정책 수립, 통합적 재난대비, 효율적 재난업무 지원, 선제적 재난예측
- 추진목표: 재난안전데이터 분석-관리 시스템 구축 및 운영",6,2025-01,proj_007,proj_007,/content/drive/MyDrive/rag_project/Files/proj_007,True,"['/content/drive/MyDrive/rag_project/Files/proj_007/1.입찰공고문_GIS통계 기반 재난안전데이터 분석·관리 시스템 구축용역.pdf', '/content/drive/MyDrive/rag_project/Files/proj_007/2.과업지시서_GIS통계 기반 재난안전데이터 분석·관리 시스템 구축용역.pdf', '/content/drive/MyDrive/rag_project/Files/proj_007/재단법인충북연구원_GIS통계 기반 재난안전데이터 분석ㆍ관리 시스템 구.pdf']",3
20240637286,1,차세대 포털·학사 정보시스템 구축사업 ,proj_008,11270000000.0,고려대학교,2024-07-01 00:00:00,2024-07-05 11:00:00,2024-08-12 11:00:00,"- 사업개요: 고려대학교 차세대 포털·학사 정보시스템 구축 사업
- 추진배경: 학령인구 감소, 교육환경 변화 등으로 대학은 급격한 사회·기술변화에 직면하고 있음
- 사업범위: 분산된 시스템 및 데이터의 통합, 데이터 기반 대학경영 지원 개선, 사용자 정보서비스 접근성 개선
- 기대효과: 교육 환경 대응, 시스템 통합, 대학경영 개선, 정보서비스 접근성 개선, 대학 경쟁력 강화
- 추진목표: 차세대 구축을 통해 정보서비스 품질 강화 및 대학 교육 시스템 경쟁력 확보",7,2024-07,proj_008,proj_008,/content/drive/MyDrive/rag_project/Files/proj_008,True,"['/content/drive/MyDrive/rag_project/Files/proj_008/20240637286-01_1719815120650_1. 고려대학교 차세대 포털·학사 정보시스템 구축 입찰공고문_20230701.pdf', '/content/drive/MyDrive/rag_project/Files/proj_008/고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf']",2
20240821865,0,스포츠윤리센터 LMS(학습지원시스템) 기능개선,proj_009,46445000.0,재단법인스포츠윤리센터,2024-08-22 11:11:00,2024-08-22 14:00:00,2024-09-02 14:00:00,"- 스포츠윤리센터 LMS(학습지원시스템) 기능개선 사업으로, 다양한 교육콘텐츠 구현을 위해 미디어 플레이어를 개선하고 강사파견 시스템을 자동화하며 학습자 및 관리자 페이지를 고도화할 것이다.
- 이를 통해 학습자의 능동적인 학습 활동 유도, 정확성-효율성 있는 강사매칭, 사용자 편의성 향상, 타기관의 법정의무교육 이수 정확성 향상을 기대한다.",8,2024-08,proj_009,proj_009,/content/drive/MyDrive/rag_project/Files/proj_009,True,"['/content/drive/MyDrive/rag_project/Files/proj_009/20240821865-00_1724292575906_입찰공고서_스포츠윤리센터 LMS(학습지원시스템) 기능개선(재공고).pdf', '/content/drive/MyDrive/rag_project/Files/proj_009/재단법인스포츠윤리센터_스포츠윤리센터 LMS(학습지원시스템) 기능개선.pdf']",2
20240821893,0,대용량 자료전송시스템 고도화,proj_010,316800000.0,국방과학연구소,2024-08-22 11:20:00,2024-08-22 11:30:00,2024-10-01 10:00:00,"- 사업명: 대용량 자료전송시스템 고도화
- 추진배경 및 필요성: 연구데이터 용량 증가로 인한 자료전송 용량 및 방안 개선 필요, 사용성 저하 및 보안기능 제한으로 체계관리 보강 필요, 노후 인프라 교체로 재연동 및 데이터 이관 필요
- 주요 사업내용: 자료송수신체계 인프라 연동모듈 재개발 및 데이터 이관, 대용량자료 수집을 위한 자료전송 기능 개발, 안전메일 및 자료반입/반출 용량 확대 및 프로세스 개선, 사용자 편의기능 및 보안기능 개선
- 기대효과: 연구사업 수행능력 및 연구자료 수집능력 강화, AI/빅데이터 시대에 발맞춘 자료유통 제공, 악성코드 및 해킹공격으로부터 연구자료와 시스템 보호, 안정적인 자료송수신 서비스 제공",9,2024-08,proj_010,proj_010,/content/drive/MyDrive/rag_project/Files/proj_010,True,"['/content/drive/MyDrive/rag_project/Files/proj_010/20240821893-00_1724293134592_1. 입찰공고문(대용량 자료전송시스템 고도화).pdf', '/content/drive/MyDrive/rag_project/Files/proj_010/20240821893-00_1724293134597_3. 계약특수조건(대용량 자료전송시스템 고도화).pdf', '/content/drive/MyDrive/rag_project/Files/proj_010/국방과학연구소_대용량 자료전송시스템 고도화.pdf']",3
